Applicant_ID,Applicant_Name,Annual_Income,Credit_Score,City,State,Employment_Status,Monthly_Rent
TG-101079,Applicant 1079,110507.0,612,New York,N.J.,Full Time,4875
TG-101080,Applicant 1080,74540.0,652,Brooklyn,N.J.,Full Time,1282
TG-101081,Applicant 1081,74522.0,658,Hoboken,,Unemployed,4962
TG-101082,Applicant 1082,75351.0,676, Newark,,Part Time,2600
TG-101083,Applicant 1083,147302.0,589,New York,NJ,Self-Employed,1858
TG-101084,Applicant 1084,96458.0,534,Queens,N.J.,Part Time,4072
,Applicant 1085,97901.0,754,Queens,,Full Time,2537
TG-101086,Applicant 1086,115909.0,731, Newark,NY,Self-Employed,4424
TG-101087,Applicant 1087,92164.0,809, Newark,,Unemployed,1893
TG-101088,Applicant 1088,77229.0,579,Hoboken,,Full Time,2344
TG-101089,Applicant 1089,79110.0,999,New York,ny,Full Time,4456
TG-101090,Applicant 1090,82852.0,521,Hoboken,NY,Part Time,4727
TG-101091,Applicant 1091,83883.0,755,Queens,NY, full time ,3052
TG-101092,Applicant 1092,106829.0,538,Brooklyn,NJ,Part Time,3879
TG-101093,Applicant 1093,86558.0,568,Brooklyn,ny,Full Time,2063
TG-101094,Applicant 1094,106979.0,597,Jersey City,NY,Part Time,2449
TG-101095,Applicant 1095,82579.0,547,Queens,ny, full time ,2418
TG-101096,Applicant 1096,87359.0,567,Queens,ny,Unemployed,2249
TG-101097,Applicant 1097,25054.0,615,Hoboken,N.J.,Self-Employed,4102
TG-101098,Applicant 1098,112490.0,684,Jersey City,NY,Full Time,2694
TG-101099,Applicant 1099,95395.0,695, Newark,N.J.,Part Time,3536
TG-101100,Applicant 1100,114940.0,592,Jersey City,,Full Time,1567
TG-101101,Applicant 1101,-1888.0,548,New York,,Self-Employed,1611
TG-101102,Applicant 1102,,676,Hoboken,N.J.,Part Time,4293
TG-101103,Applicant 1103,80812.0,798, Newark,,Unemployed,1553
TG-101104,Applicant 1104,118245.0,802, Newark,N.J.,Self-Employed,2765
TG-101105,Applicant 1105,53803.0,526,Brooklyn,NJ, full time ,2538
TG-101106,Applicant 1106,103383.0,701,New York,ny, full time ,1528
TG-101107,Applicant 1107,53398.0,999,Jersey City,NJ,Full Time,2693
TG-101108,Applicant 1108,66287.0,725,Brooklyn,NY, full time ,4029
TG-101109,Applicant 1109,142421.0,753,Queens,NJ,Part Time,2686
TG-101110,Applicant 1110,79280.0,706,Hoboken,NJ, full time ,4935
TG-101111,Applicant 1111,91523.0,527,Jersey City,,Unemployed,1937
TG-101112,Applicant 1112,111102.0,572,Queens,N.J.,Part Time,5088
TG-101113,Applicant 1113,99870.0,718, Newark,NY,Full Time,2994
TG-101114,Applicant 1114,89513.0,656,Jersey City,,Full Time,2502
TG-101115,Applicant 1115,95949.0,778,Brooklyn,NY, full time ,3868
TG-101116,Applicant 1116,157102.0,691,New York,ny, full time ,5438
TG-101117,Applicant 1117,83271.0,605,Brooklyn,N.J.,Full Time,5082
TG-101118,Applicant 1118,91033.0,565,Hoboken,,Part Time,5366
TG-101119,Applicant 1119,116520.0,705,Hoboken,NJ,Self-Employed,1837
TG-101120,Applicant 1120,118166.0,675,Jersey City,ny,Full Time,3841
TG-101121,Applicant 1121,120611.0,528,Brooklyn,NJ,Unemployed,1240
TG-101122,Applicant 1122,104162.0,634,New York,NY,Part Time,5185
TG-101123,Applicant 1123,50710.0,673, Newark,ny,Self-Employed,4146
TG-101124,Applicant 1124,134003.0,649,Hoboken,,Self-Employed,1970
TG-101125,Applicant 1125,50610.0,600,New York,NJ,Part Time,4216
TG-101126,Applicant 1126,94079.0,809,Queens,NJ,Full Time,4910
TG-101127,Applicant 1127,62372.0,666,Jersey City,NY,Self-Employed,1257
TG-101128,Applicant 1128,83076.0,814,New York,NY,Unemployed,5463
TG-101129,Applicant 1129,94863.0,788,Jersey City,N.J.,Part Time,2853
TG-101130,Applicant 1130,94641.0,652,Queens,N.J., full time ,4437
TG-101131,Applicant 1131,97658.0,569,New York,NY,Full Time,1281
,Applicant 1132,133411.0,542,New York,N.J.,Part Time,5429
TG-101133,Applicant 1133,98606.0,607, Newark,NJ,Unemployed,2708
TG-101134,Applicant 1134,77675.0,631,Queens,NY,Self-Employed,1461
TG-101135,Applicant 1135,113923.0,630,Brooklyn,ny,Full Time,4906
TG-101136,Applicant 1136,120684.0,591,New York,NY,Full Time,5314
TG-101137,Applicant 1137,48172.0,673, Newark,,Part Time,3517
TG-101138,Applicant 1138,102922.0,576,New York,,Part Time,5002
TG-101139,Applicant 1139,106035.0,776, Newark,NY,Unemployed,4111
,Applicant 1140,76073.0,675,Hoboken,ny, full time ,1868
TG-101141,Applicant 1141,126271.0,632,Brooklyn,NY,Part Time,2470
TG-101142,Applicant 1142,80498.0,566,New York,ny,Part Time,2934
TG-101143,Applicant 1143,88767.0,757,Queens,NJ,Part Time,5014
TG-101144,Applicant 1144,79808.0,625,Jersey City,NJ,Unemployed,5219
TG-101145,Applicant 1145 ,85467.0,706,Queens,ny,Self-Employed,5057
TG-101146,Applicant 1146,52112.0,678,Brooklyn,N.J., full time ,3099
TG-101147,Applicant 1147,41798.0,717,Hoboken,NJ,Unemployed,3431
TG-101148,Applicant 1148,132835.0,696,Hoboken,,Part Time,1640
TG-101149,Applicant 1149,59591.0,780,Hoboken,NY,Self-Employed,1780
TG-101150,Applicant 1150,55258.0,806, Newark,N.J.,Part Time,4521
TG-101151,Applicant 1151,20398.0,812,Queens,,Unemployed,1575
TG-101152,Applicant 1152,65831.0,662,Jersey City,NY,Full Time,5001
TG-101153,Applicant 1153,45307.0,716,Jersey City,,Part Time,3007
TG-101154,Applicant 1154,134260.0,744, Newark,N.J.,Self-Employed,1928
TG-101155,Applicant 1155,115295.0,562,New York,ny, full time ,3637
TG-101156,Applicant 1156,64355.0,670, Newark,NY,Full Time,5475
TG-101157,Applicant 1157,152573.0,815,Jersey City,,Part Time,3623
TG-101158,Applicant 1158,114453.0,582,Jersey City,,Part Time,4091
TG-101159,Applicant 1159,75255.0,649,New York,N.J.,Self-Employed,3576
TG-101160,Applicant 1160,10018.0,774,Queens,N.J.,Full Time,3168
TG-101161,Applicant 1161,153728.0,733,Queens,N.J.,Full Time,3447
TG-101162,Applicant 1162,43313.0,592,Brooklyn,ny,Full Time,3943
TG-101163,Applicant 1163,35638.0,623,Queens,NJ,Part Time,4056
TG-101164,Applicant 1164,115677.0,677,Hoboken,,Full Time,2959
TG-101165,Applicant 1165,158193.0,791,Hoboken,ny,Part Time,3112
TG-101166,Applicant 1166,126528.0,757,Brooklyn,,Part Time,4872
TG-101167,Applicant 1167,101917.0,677,Jersey City,ny,Full Time,5008
TG-101168,Applicant 1168,102843.0,628,Brooklyn,NY,Unemployed,3182
TG-101169,Applicant 1169,110602.0,528,New York,NJ, full time ,3877
TG-101170,Applicant 1170,107768.0,578,Brooklyn,, full time ,2894
TG-101171,Applicant 1171,93436.0,711,Brooklyn,N.J.,Unemployed,2937
TG-101172,Applicant 1172,88126.0,655, Newark,NJ,Full Time,1245
TG-101173,Applicant 1173,83122.0,770,Hoboken,,Part Time,3141
TG-101174,Applicant 1174,62381.0,665,New York,NY,Self-Employed,1355
TG-101175,Applicant 1175,76580.0,577, Newark,,Unemployed,4665
,Applicant 1176,34211.0,696,New York,, full time ,2161
TG-101177,Applicant 1177,82050.0,807,Brooklyn,, full time ,2144
TG-101178,Applicant 1178,55342.0,764, Newark,NJ,Part Time,2478
TG-101179,Applicant 1179,51892.0,567, Newark,, full time ,2585
TG-101180,Applicant 1180,90397.0,619,New York,N.J., full time ,5254
TG-101181,Applicant 1181,126760.0,732,New York,ny,Part Time,5119
TG-101182,Applicant 1182,112549.0,684,Queens,N.J.,Full Time,2936
TG-101183,Applicant 1183,37885.0,645,New York,NY, full time ,4066
TG-101184,Applicant 1184,55311.0,999, Newark,NJ,Full Time,3624
TG-101185,Applicant 1185,113223.0,607,Jersey City,ny,Self-Employed,5448
TG-101186,Applicant 1186,55525.0,736,New York,NJ,Full Time,5038
TG-101187,Applicant 1187,78261.0,580,Hoboken,NJ,Part Time,4019
TG-101188,Applicant 1188,101502.0,698,Queens,,Part Time,4423
TG-101189,Applicant 1189,55950.0,709,Hoboken,N.J.,Part Time,3850
TG-101190,Applicant 1190,88161.0,682,Hoboken,ny, full time ,1439
TG-101191,Applicant 1191,44979.0,600,Jersey City,,Unemployed,4454
TG-101192,Applicant 1192,66959.0,689,Queens,ny, full time ,1699
TG-101193,Applicant 1193,94593.0,715,Brooklyn,N.J.,Full Time,5069
TG-101194,Applicant 1194,37210.0,722, Newark,,Self-Employed,3430
TG-101195,Applicant 1195,98214.0,566, Newark,ny,Self-Employed,4828
TG-101196,Applicant 1196,84411.0,677,New York,,Self-Employed,2629
TG-101197,Applicant 1197,101575.0,713, Newark,NJ,Self-Employed,1726
TG-101198,Applicant 1198,91717.0,798,Jersey City,NY,Unemployed,3008
TG-101199,Applicant 1199,125924.0,788, Newark,ny,Self-Employed,2410
TG-101200,Applicant 1200,88757.0,718,Jersey City,N.J., full time ,5147
TG-101201,Applicant 1201,72118.0,743,Brooklyn,ny,Self-Employed,2248
TG-101202,Applicant 1202,88669.0,782,Jersey City,NY,Part Time,2354
TG-101203,Applicant 1203,101299.0,685,Brooklyn,ny,Full Time,1875
TG-101204,Applicant 1204,86466.0,699,Brooklyn,ny, full time ,4238
TG-101205,Applicant 1205,,711,Brooklyn,ny,Unemployed,4478
TG-101206,Applicant 1206,63940.0,735,Jersey City,N.J., full time ,3485
TG-101207,Applicant 1207,65113.0,803,Brooklyn,NY,Part Time,3439
TG-101208,Applicant 1208,42922.0,626,Jersey City,NY,Self-Employed,2251
TG-101209,Applicant 1209,137487.0,617,Queens,N.J.,Self-Employed,4378
TG-101210,Applicant 1210,47684.0,749,Brooklyn,ny,Unemployed,4494
TG-101211,Applicant 1211,64213.0,776,Jersey City,ny,Full Time,1628
TG-101212,Applicant 1212,63448.0,562,Jersey City,NY,Self-Employed,3331
TG-101213,Applicant 1213,111848.0,761,Jersey City,ny,Unemployed,1697
TG-101214,Applicant 1214,76152.0,561,New York,NJ,Self-Employed,3484
TG-101215,Applicant 1215,122432.0,614,New York,ny, full time ,5066
TG-101216,Applicant 1216,64795.0,773,Brooklyn,ny,Unemployed,2050
TG-101217,Applicant 1217,93370.0,707, Newark,,Unemployed,3859
TG-101218,Applicant 1218,59940.0,686,Queens,NY,Unemployed,4091
TG-101219,Applicant 1219,149354.0,790, Newark,NY,Self-Employed,2258
TG-101220,Applicant 1220,49372.0,644,Brooklyn,NJ,Unemployed,3344
TG-101221,Applicant 1221,94295.0,680,Hoboken,NJ, full time ,4504
TG-101222,Applicant 1222,104013.0,606,Hoboken,NJ,Full Time,3772
TG-101223,Applicant 1223,97414.0,745,Queens,NY,Full Time,2981
TG-101224,Applicant 1224,79441.0,664,Queens,,Part Time,1688
TG-101225,Applicant 1225,81105.0,767,Queens,, full time ,1603
TG-101226,Applicant 1226,86314.0,525,New York,N.J., full time ,1602
TG-101227,Applicant 1227,80590.0,550,New York,NY,Unemployed,4857
TG-101228,Applicant 1228,113916.0,716,Hoboken,N.J.,Part Time,3001
TG-101229,Applicant 1229,151316.0,751,Queens,ny, full time ,1383
TG-101230,Applicant 1230,68275.0,815,Jersey City,NJ, full time ,4839
TG-101231,Applicant 1231,43906.0,654, Newark,N.J., full time ,2716
TG-101232,Applicant 1232,82352.0,532,Hoboken,N.J.,Self-Employed,5356
TG-101233,Applicant 1233,162391.0,523,Queens,NY, full time ,2908
TG-101234,Applicant 1234,60890.0,697,Jersey City,NJ,Self-Employed,4893
TG-101235,Applicant 1235,134174.0,753,Queens,NJ, full time ,3147
TG-101236,Applicant 1236,135331.0,778,Brooklyn,,Full Time,5441
TG-101237,Applicant 1237,68392.0,659,Jersey City,N.J.,Self-Employed,2749
TG-101238,Applicant 1238,102069.0,584, Newark,,Self-Employed,5478
TG-101239,Applicant 1239,133852.0,802,Brooklyn,N.J.,Unemployed,5148
TG-101240,Applicant 1240,73626.0,724,New York,NY, full time ,3991
TG-101241,Applicant 1241,78893.0,536,Hoboken,NY,Part Time,2195
TG-101242,Applicant 1242,67550.0,719,Queens,ny,Part Time,4056
TG-101243,Applicant 1243,54557.0,551,Hoboken,N.J.,Part Time,1851
TG-101244,Applicant 1244,65522.0,731, Newark,N.J.,Part Time,2092
TG-101245,Applicant 1245,48282.0,792,Queens,NJ,Full Time,4036
TG-101246,Applicant 1246,86023.0,809,Brooklyn,NJ,Part Time,3202
TG-101247,Applicant 1247,61901.0,810,Jersey City,,Unemployed,2264
TG-101248,Applicant 1248,92014.0,753,Jersey City,ny,Part Time,3630
TG-101249,Applicant 1249,38323.0,701,Queens,NY,Unemployed,1368
TG-101250,Applicant 1250,,665,Brooklyn,N.J.,Self-Employed,1370
TG-101251,Applicant 1251,110006.0,569,Queens,, full time ,4889
TG-101252,Applicant 1252,25188.0,622,Queens,ny,Part Time,1938
TG-101253,Applicant 1253,96222.0,552,Queens,NJ,Unemployed,4727
TG-101254,Applicant 1254,121830.0,608,Jersey City,ny,Unemployed,4762
TG-101255,Applicant 1255,48711.0,760, Newark,, full time ,2517
TG-101256,Applicant 1256,135177.0,785,Queens,NY,Self-Employed,2487
TG-101257,Applicant 1257,97571.0,742,Jersey City,NJ,Part Time,3494
TG-101258,Applicant 1258,63850.0,755,New York,NJ,Unemployed,5443
TG-101259,Applicant 1259,83327.0,672,Brooklyn,NY,Part Time,5236
TG-101260,Applicant 1260,101750.0,576,New York,NJ,Full Time,3469
TG-101261,Applicant 1261,87280.0,631,Queens,,Unemployed,1857
TG-101262,Applicant 1262,101163.0,534,Jersey City,NJ,Self-Employed,5403
TG-101263,Applicant 1263,57380.0,788,Brooklyn,N.J., full time ,4401
TG-101264,Applicant 1264,90081.0,633,Hoboken,ny,Unemployed,1775
,Applicant 1265,42589.0,771,Brooklyn,,Full Time,1499
TG-101266,Applicant 1266,81663.0,661,Brooklyn,NY, full time ,4706
TG-101267,Applicant 1267,57883.0,633,Queens,,Self-Employed,3092
TG-101268,Applicant 1268,62934.0,809,New York,N.J.,Part Time,1423
TG-101269,Applicant 1269,122083.0,544,New York,NJ,Part Time,4848
TG-101270,Applicant 1270,117739.0,774,Hoboken,NJ,Unemployed,3941
TG-101271,Applicant 1271,103274.0,787,Queens,, full time ,3058
TG-101272,Applicant 1272,52231.0,645,Brooklyn,NJ,Full Time,4894
TG-101273,Applicant 1273,75508.0,769, Newark,NJ,Full Time,3497
TG-101274,Applicant 1274,121393.0,806,New York,N.J.,Self-Employed,4064
TG-101275,Applicant 1275,89252.0,572,New York,NY, full time ,4744
TG-101276,Applicant 1276,154580.0,562,Jersey City,ny, full time ,2899
TG-101277,Applicant 1277,96800.0,685,Brooklyn,,Part Time,4534
TG-101278,Applicant 1278,90761.0,561,Queens,NY,Self-Employed,3262
TG-101279,Applicant 1279,75727.0,695,New York,ny,Self-Employed,1864
TG-101280,Applicant 1280,89006.0,586,Queens,NY,Self-Employed,1695
TG-101281,Applicant 1281,80426.0,585,Brooklyn,, full time ,2664
TG-101282,Applicant 1282,106243.0,602,Brooklyn,N.J.,Part Time,3284
TG-101283,Applicant 1283,113701.0,624,New York,N.J.,Self-Employed,4905
TG-101284,Applicant 1284,,806,Hoboken,N.J.,Part Time,1635
TG-101285,Applicant 1285,45063.0,705,Queens,NY,Self-Employed,3540
TG-101286,Applicant 1286,29914.0,803,Queens,, full time ,2897
TG-101287,Applicant 1287,100240.0,523,Jersey City,NJ,Part Time,5211
TG-101288,Applicant 1288,51899.0,657,Brooklyn,NJ,Unemployed,2246
TG-101289,Applicant 1289,20413.0,698,Brooklyn,N.J.,Self-Employed,3597
TG-101290,Applicant 1290,96657.0,756,New York,NY, full time ,2289
TG-101291,Applicant 1291,159790.0,537,New York,NJ,Part Time,2618
TG-101292,Applicant 1292,84818.0,528,New York,NY,Full Time,4221
TG-101293,Applicant 1293,110155.0,548,Jersey City,, full time ,4248
TG-101294,Applicant 1294,87455.0,663,Hoboken,N.J., full time ,1769
TG-101295,Applicant 1295,82033.0,668,New York,ny,Full Time,1228
TG-101296,Applicant 1296,,583,New York,N.J.,Full Time,4354
TG-101297,Applicant 1297,76292.0,706, Newark,ny,Unemployed,4706
TG-101298,Applicant 1298,93022.0,746,New York,NJ,Unemployed,1840
TG-101299,Applicant 1299,94651.0,637,Jersey City,ny,Unemployed,4404
TG-101300,Applicant 1300 ,64957.0,773,Queens,NY, full time ,5410
TG-101301,Applicant 1301,114761.0,550,Hoboken,ny, full time ,5376
TG-101302,Applicant 1302,79751.0,680,Queens,NJ, full time ,3185
TG-101303,Applicant 1303,62328.0,734, Newark,NJ,Unemployed,3854
TG-101304,Applicant 1304,101095.0,688,Brooklyn,N.J.,Part Time,5231
TG-101305,Applicant 1305,58046.0,600,Brooklyn,NJ, full time ,5367
TG-101306,Applicant 1306,85845.0,565,New York,NY, full time ,3229
TG-101307,Applicant 1307,84726.0,568, Newark,ny, full time ,1673
TG-101308,Applicant 1308,117577.0,817,Queens,,Unemployed,1370
TG-101309,Applicant 1309,99241.0,802,Jersey City,NJ,Self-Employed,3287
TG-101310,Applicant 1310,84249.0,607,Hoboken,ny,Unemployed,4444
TG-101311,Applicant 1311,109533.0,640,Queens,N.J.,Self-Employed,3671
TG-101312,Applicant 1312,126706.0,999, Newark,,Unemployed,2445
TG-101313,Applicant 1313,101734.0,746, Newark,N.J.,Part Time,1997
TG-101314,Applicant 1314,85311.0,598,Queens,NY,Part Time,4946
TG-101315,Applicant 1315,,664,Hoboken,N.J., full time ,3697
TG-101316,Applicant 1316,53047.0,761,Queens,ny,Unemployed,1521
TG-101317,Applicant 1317,75843.0,551,Queens,,Self-Employed,5134
TG-101318,Applicant 1318,66715.0,782,Hoboken,N.J.,Self-Employed,5095
TG-101319,Applicant 1319,79391.0,730,Jersey City,N.J.,Part Time,2268
TG-101320,Applicant 1320,86699.0,590, Newark,NY, full time ,1523
TG-101321,Applicant 1321,100891.0,716,Hoboken,ny,Self-Employed,4532
TG-101322,Applicant 1322,82885.0,577,New York,N.J.,Unemployed,3867
TG-101323,Applicant 1323,99595.0,631,New York,ny, full time ,3294
TG-101324,Applicant 1324,86934.0,567,New York,NJ,Unemployed,1844
TG-101325,Applicant 1325,25736.0,704,New York,NY,Unemployed,5044
TG-101326,Applicant 1326,56820.0,684,Brooklyn,NY,Part Time,2911
TG-101327,Applicant 1327,80677.0,734,Jersey City,NY,Unemployed,3880
TG-101328,Applicant 1328,48709.0,640,Brooklyn,ny,Full Time,2040
TG-101329,Applicant 1329,102998.0,732,Queens,N.J., full time ,1502
TG-101330,Applicant 1330,130923.0,560,Queens,N.J.,Full Time,4461
TG-101331,Applicant 1331,121563.0,808,Hoboken,ny,Unemployed,4960
TG-101332,Applicant 1332,78597.0,687,New York,ny,Unemployed,3824
TG-101333,Applicant 1333,129722.0,553,Hoboken,NJ,Part Time,1535
TG-101334,Applicant 1334,89460.0,999,Queens,,Part Time,3078
TG-101335,Applicant 1335,74887.0,716,New York,,Part Time,4491
TG-101336,Applicant 1336,66598.0,710, Newark,NY,Part Time,3052
TG-101337,Applicant 1337,75926.0,740,Jersey City,N.J.,Self-Employed,3200
TG-101338,Applicant 1338,73355.0,529,Queens,NY,Part Time,3329
TG-101339,Applicant 1339,90112.0,639, Newark,N.J.,Unemployed,2168
TG-101340,Applicant 1340,89817.0,642,Hoboken,N.J.,Unemployed,3156
TG-101341,Applicant 1341,85091.0,766, Newark,NJ, full time ,3725
TG-101342,Applicant 1342,98108.0,740,Hoboken,ny,Full Time,3546
TG-101343,Applicant 1343,120719.0,780,Queens,ny,Self-Employed,1949
TG-101344,Applicant 1344,113487.0,999,Brooklyn,ny,Self-Employed,3943
TG-101345,Applicant 1345,40453.0,647,Jersey City,, full time ,2499
TG-101346,Applicant 1346,8382.0,706, Newark,ny, full time ,1503
TG-101347,Applicant 1347,113030.0,724, Newark,,Part Time,4115
TG-101348,Applicant 1348,43994.0,605,Queens,NY, full time ,5265
TG-101349,Applicant 1349,78257.0,623,Queens,,Self-Employed,4544
TG-101350,Applicant 1350,49897.0,662,Hoboken,N.J.,Full Time,1235
TG-101351,Applicant 1351,30941.0,724,New York,NJ,Full Time,4749
TG-101352,Applicant 1352,101244.0,648,New York,NJ,Self-Employed,3585
TG-101353,Applicant 1353,107775.0,765,New York,N.J.,Part Time,2633
TG-101354,Applicant 1354,67705.0,557,Hoboken,NY,Full Time,1280
TG-101355,Applicant 1355,7269.0,628,New York,NJ,Full Time,2702
TG-101356,Applicant 1356,68613.0,571,Queens,N.J.,Part Time,4711
TG-101357,Applicant 1357,96754.0,520,Brooklyn,NJ,Full Time,4142
TG-101358,Applicant 1358,40633.0,530,Brooklyn,,Unemployed,1994
TG-101359,Applicant 1359,90501.0,754,Brooklyn,NJ,Self-Employed,2930
TG-101360,Applicant 1360,84541.0,647,New York,,Full Time,1383
TG-101361,Applicant 1361,102379.0,733,Brooklyn,,Full Time,2371
TG-101362,Applicant 1362,88587.0,762, Newark,NJ,Part Time,3242
TG-101363,Applicant 1363,55808.0,563,New York,NJ,Full Time,2487
TG-101364,Applicant 1364,120897.0,525, Newark,,Part Time,4876
TG-101365,Applicant 1365,80244.0,675,Queens,NJ,Self-Employed,4760
TG-101366,Applicant 1366,84181.0,527, Newark,NY,Unemployed,3082
TG-101367,Applicant 1367,57002.0,524,Queens,ny, full time ,1481
TG-101368,Applicant 1368,,701,Hoboken,ny,Self-Employed,3449
TG-101369,Applicant 1369,58456.0,631,Hoboken,N.J.,Full Time,1616
TG-101370,Applicant 1370,79812.0,792, Newark,ny,Unemployed,1516
TG-101371,Applicant 1371,136351.0,784,Jersey City,NY, full time ,4499
TG-101372,Applicant 1372,43843.0,731,Queens,ny, full time ,4163
TG-101373,Applicant 1373,36593.0,597,New York,ny,Full Time,2291
TG-101374,Applicant 1374,129135.0,789,Jersey City,NY, full time ,4044
TG-101375,Applicant 1375,,673,Queens,, full time ,5085
TG-101376,Applicant 1376,64928.0,740,New York,ny,Self-Employed,1876
TG-101377,Applicant 1377,116197.0,544,Queens,N.J.,Self-Employed,2324
TG-101378,Applicant 1378,66832.0,727,Queens,ny, full time ,3490
TG-101379,Applicant 1379,139780.0,522,New York,ny,Part Time,2313
TG-101380,Applicant 1380,105338.0,734,Queens,NY,Full Time,3172
TG-101381,Applicant 1381,70363.0,631,Queens,NY,Part Time,4148
TG-101382,Applicant 1382,149719.0,711,Queens,N.J.,Part Time,5422
TG-101383,Applicant 1383,66829.0,566,Hoboken,NJ, full time ,2622
TG-101384,Applicant 1384,107263.0,740,Brooklyn,NY,Full Time,4573
TG-101385,Applicant 1385,93979.0,706,Queens,NJ,Part Time,1955
TG-101386,Applicant 1386,124052.0,569,New York,N.J.,Self-Employed,4968
TG-101387,Applicant 1387,131845.0,716, Newark,ny,Self-Employed,5036
TG-101388,Applicant 1388,85960.0,735,Queens,ny,Full Time,5172
TG-101389,Applicant 1389,,740,Hoboken,NJ,Part Time,5368
TG-101390,Applicant 1390,98799.0,609,Hoboken,N.J.,Unemployed,4192
TG-101391,Applicant 1391,64669.0,751, Newark,N.J.,Unemployed,1691
TG-101392,Applicant 1392,145402.0,777,Queens,NY,Full Time,1883
TG-101393,Applicant 1393,89096.0,672,Jersey City,NJ,Full Time,3175
TG-101394,Applicant 1394,74040.0,775, Newark,NY,Unemployed,1503
TG-101395,Applicant 1395,90540.0,777,Brooklyn,NJ,Part Time,5197
TG-101396,Applicant 1396,44586.0,584,New York,NY,Part Time,3152
TG-101397,Applicant 1397,55852.0,709,New York,NY, full time ,4769
TG-101398,Applicant 1398,121012.0,610,New York,N.J.,Full Time,5204
TG-101399,Applicant 1399,65293.0,692,New York,N.J.,Part Time,2460
TG-101400,Applicant 1400,53593.0,766,Hoboken,ny,Unemployed,2230
TG-101401,Applicant 1401,101100.0,775,Brooklyn,ny,Unemployed,2394
TG-101402,Applicant 1402,120571.0,635,Queens,N.J.,Self-Employed,4559
,Applicant 1403,106569.0,568,Queens,N.J.,Part Time,1433
TG-101404,Applicant 1404,114881.0,746,Jersey City,NY, full time ,4120
TG-101405,Applicant 1405,62296.0,588,Queens,ny, full time ,2918
TG-101406,Applicant 1406,42346.0,645,Brooklyn,N.J.,Full Time,1692
TG-101407,Applicant 1407,,732,Queens,NJ,Self-Employed,4482
TG-101408,Applicant 1408,75320.0,572,Hoboken,NJ,Unemployed,3214
TG-101409,Applicant 1409,77475.0,631, Newark,ny,Unemployed,1544
TG-101410,Applicant 1410,124846.0,678,Queens,NJ,Full Time,1464
TG-101411,Applicant 1411,101687.0,759,New York,NY, full time ,4775
TG-101412,Applicant 1412,98677.0,669,New York,ny, full time ,2872
TG-101413,Applicant 1413,149950.0,658, Newark,N.J.,Unemployed,4847
TG-101414,Applicant 1414,65694.0,632,New York,NJ,Full Time,1628
TG-101415,Applicant 1415,112835.0,662,New York,NY,Part Time,4362
TG-101416,Applicant 1416,86710.0,657,Hoboken,N.J.,Self-Employed,4110
TG-101417,Applicant 1417,93058.0,550,Hoboken,, full time ,1653
TG-101418,Applicant 1418,130854.0,812,Hoboken,NY, full time ,1548
TG-101419,Applicant 1419,100235.0,627,Queens,NJ, full time ,1621
TG-101420,Applicant 1420,101149.0,803, Newark,NY,Part Time,3962
TG-101421,Applicant 1421,117175.0,678,New York,,Part Time,1781
TG-101422,Applicant 1422,74051.0,999,Jersey City,,Self-Employed,3862
TG-101423,Applicant 1423,59824.0,641, Newark,NY, full time ,5458
TG-101424,Applicant 1424,,734,Jersey City,N.J.,Unemployed,3551
TG-101425,Applicant 1425,26009.0,791,New York,N.J., full time ,3566
TG-101426,Applicant 1426,146686.0,544,Brooklyn,,Self-Employed,2229
TG-101427,Applicant 1427,51904.0,813, Newark,ny,Self-Employed,2524
TG-101428,Applicant 1428,78362.0,688,Queens,ny,Unemployed,1300
TG-101429,Applicant 1429,76696.0,622,Jersey City,N.J.,Part Time,1615
TG-101430,Applicant 1430,94222.0,559, Newark,ny,Unemployed,2583
TG-101431,Applicant 1431,109472.0,754, Newark,N.J.,Self-Employed,3633
TG-101432,Applicant 1432,110814.0,608,Hoboken,NJ,Unemployed,2243
TG-101433,Applicant 1433,67508.0,619,Brooklyn,N.J., full time ,2946
TG-101434,Applicant 1434,79986.0,663,Hoboken,NJ,Self-Employed,2488
TG-101435,Applicant 1435,93477.0,601,Brooklyn,,Part Time,5339
TG-101436,Applicant 1436 ,77539.0,596,Brooklyn,ny,Part Time,5370
TG-101437,Applicant 1437,133220.0,578,Queens,,Unemployed,5348
TG-101438,Applicant 1438,99729.0,748, Newark,NY,Unemployed,5154
TG-101439,Applicant 1439,107046.0,610,Hoboken,NY,Unemployed,1237
TG-101440,Applicant 1440,104886.0,520,Hoboken,, full time ,1965
TG-101441,Applicant 1441,120204.0,788,Jersey City,N.J.,Part Time,5077
TG-101442,Applicant 1442,90431.0,805, Newark,N.J.,Self-Employed,3664
TG-101443,Applicant 1443,46095.0,716,New York,ny,Self-Employed,4091
TG-101444,Applicant 1444,96991.0,793,New York,,Part Time,1315
TG-101445,Applicant 1445,65459.0,597,Jersey City,NY,Unemployed,1478
TG-101446,Applicant 1446,69141.0,660,Brooklyn,,Full Time,1653
TG-101447,Applicant 1447,102591.0,807,Jersey City,,Unemployed,4413
TG-101448,Applicant 1448,122148.0,590,Jersey City,ny,Part Time,1500
TG-101449,Applicant 1449,85638.0,569,Hoboken,N.J., full time ,1916
TG-101450,Applicant 1450,94265.0,599,Jersey City,NY,Unemployed,2575
TG-101451,Applicant 1451,136066.0,754,Brooklyn,ny,Self-Employed,1394
TG-101452,Applicant 1452,92223.0,806,New York,NY, full time ,2528
